k,Inertia,Silhouette Score,Adjusted Rand Index,Normalized Mutual Information
2,2652.900983384888,0.16827226824363017,0.41101374337816227,0.3501962018766964
3,2438.2791864230285,0.11710344678168433,0.2557533255146815,0.25953199118010783
4,2266.057235407525,0.12091785224981394,0.1826322798630347,0.19018606415439193
5,2153.9782531452224,0.1187051135482042,0.16257264829560833,0.18818079122950943
6,2065.4596911852664,0.11197409686323656,0.12990357058235846,0.18791172653166954
7,2000.612876563448,0.12613603483675023,0.14998897628326086,0.1943271851365589
8,1935.8367795295749,0.11001834466536857,0.11184183595332255,0.19051918427777834
9,1877.021409280329,0.10407778508704035,0.12060070881235649,0.2021325107663235
10,1811.7163438586456,0.09978995312603231,0.11877610057343456,0.21141289993871823
